Generated On,Energy Yield (kWh),Irradiance(W/m²),Temp ( c ) ,Rain (mm),Wind (kn),Income,Wind (km/hr),Dust (ug/m3)
"2020-10-18	",772.31,9579,25.9,3.5,8,3089.24,14.816,8
"2020-10-19	",1368.31,15850,27.5,0,11,5473.24,20.37,13
"2020-10-20	",1429.09,16916,27.1,0.3,16,5716.36,29.632,13
"2020-10-21	",1092.06,14549,26.5,19.4,17,4368.24,31.484,10
"2020-10-22	",926.5,10971,26.3,0,8,3706,14.816,9
"2020-10-23	",1031.98,12796,26.3,22.4,9,4127.92,16.668,10
"2020-10-24	",1202.33,14978,27.1,45.8,9,4809.32,16.668,13
"2020-10-25	",1043.11,12305,26.1,29.1,13,4172.44,24.076,9
"2020-10-26	",1337.53,15975,26.9,0,8,5350.12,14.816,8
"2020-10-27	",1143.08,14545,26.7,0,11,4572.32,20.37,10
"2020-10-28	",913.15,12321,26.4,0,12,3652.6,22.224,8
"2020-10-29	",1087.65,15065,26.1,2.9,17,4350.6,31.484,6
"2020-10-30	",1205.44,15873,26.9,8.4,21,4821.76,38.892,8
"2020-10-31	",871.49,13261,26.6,41.7,9,3485.96,16.668,9
"2020-11-01	",1410.72,19091,26.8,11.4,11,5642.88,20.37,11
"2020-11-02	",1129.16,14810,26.9,0,18,4516.64,33.336,10
"2020-11-03	",1316.15,18671,27.5,0,13,5264.6,24.076,12
"2020-11-04	",1205.04,16612,27.7,0,12,4820.16,22.224,16
"2020-11-05	",979.78,13540,27.4,0,12,3919.12,22.224,17
"2020-11-06	",1406.23,20376,27.8,0,14,5624.92,25.928,17
"2020-11-07	",1228.05,16405,27.6,20.5,10,4912.2,18.52 ,16
"2020-11-08	",1140.23,15009,27.4,32.9,12,4560.92,22.224,10
"2020-11-09	",902.56,11970,26,7.2,11,3610.24,20.37,8
"2020-11-10	",1074.31,15601,26.2,0.4,14,4297.24,25.928,21
"2020-11-11	",768.33,10913,26,5,18,3073.32,33.336,31
